tagId,timestamp,converted_timestamp,time,converted_date,x,y,z,numAnchors,battery,error
62043,1708720771465,2024-02-23 14:39:31-06:00,14:39:31,2024-02-23,565.6510413528705,468.0271931686225,0,4,3.0131495,0.1875
62023,1708720770926,2024-02-23 14:39:31-06:00,14:39:31,2024-02-23,510.1570827433861,480.2424413308464,0,3,3.017485,0.16666666666666663
62037,1708720770662,2024-02-23 14:39:31-06:00,14:39:31,2024-02-23,528.2582521943955,454.49500379553024,0,3,3.0349524,0.0
62020,1708720770926,2024-02-23 14:39:31-06:00,14:39:31,2024-02-23,606.5242108470129,485.85927396386194,0,3,3.0349524,0.33333333333333337
62022,1708720771729,2024-02-23 14:39:32-06:00,14:39:32,2024-02-23,494.4994156064824,510.4860622791733,0,3,3.021833,0.25
62025,1708720772003,2024-02-23 14:39:32-06:00,14:39:32,2024-02-23,581.809682396539,589.9857752488051,0,3,3.0045161,0.25
62043,1708720772542,2024-02-23 14:39:33-06:00,14:39:33,2024-02-23,558.217824147271,466.0510780445023,0,3,3.0131495,0.33333333333333337
62020,1708720773081,2024-02-23 14:39:33-06:00,14:39:33,2024-02-23,586.7800711634567,471.8640942633815,0,4,3.0349524,0.25
62022,1708720772806,2024-02-23 14:39:33-06:00,14:39:33,2024-02-23,508.00342646420575,510.89870417634313,0,3,3.0131495,0.33333333333333337
62025,1708720773081,2024-02-23 14:39:33-06:00,14:39:33,2024-02-23,586.9119267243743,592.1327147970374,0,3,3.0045161,0.33333333333333337
62043,1708720773620,2024-02-23 14:39:34-06:00,14:39:34,2024-02-23,546.7944844454933,464.5879619015505,0,3,3.0131495,0.16666666666666663
62020,1708720774159,2024-02-23 14:39:34-06:00,14:39:34,2024-02-23,564.6167627977024,446.6166361225679,0,3,3.039351,0.33333333333333337
62022,1708720773884,2024-02-23 14:39:34-06:00,14:39:34,2024-02-23,508.5170570398318,499.55415762026246,0,3,3.0261936,0.25
62022,1708720774830,2024-02-23 14:39:35-06:00,14:39:35,2024-02-23,513.7357176151077,491.347116578026,0,4,3.021833,0.125
62043,1708720775633,2024-02-23 14:39:36-06:00,14:39:36,2024-02-23,532.2264372031897,456.064909283179,0,4,3.0131495,0.3125
62020,1708720776172,2024-02-23 14:39:36-06:00,14:39:36,2024-02-23,546.8110260852643,448.40962651739443,0,3,3.0349524,0.25
