version,tagId,timestamp,x,y,z,success,blinkIndex,latency,anchorid1,anchorid2,anchorid3,anchorid4,anchorid5,rss1,rss2,rss3,rss4,rss5,converted_date,time
2.1,200000641,1688737294.777041,,,,False,472187,22,5018,5043,5077,5084,5094,-82,-83.0,-97.0,-90.0,-90.0,2023-07-07,08:41:34.777
2.1,200000636,1688737295.133138,,,,False,541694,12,5018,5043,5084,,,-88,-95.0,-100.0,,,2023-07-07,08:41:35.133
2.1,200000637,1688737295.3514788,,,,False,17604,14,5018,5043,5077,5084,5094,-83,-83.0,-104.0,-90.0,-94.0,2023-07-07,08:41:35.351
2.1,200000641,1688737295.781893,,,,False,472188,26,5018,5043,5077,5084,5094,-82,-85.0,-120.0,-89.0,-104.0,2023-07-07,08:41:35.781
2.1,200000662,1688737295.785455,-8645.0,10114.0,1000.0,True,26704,27,5018,5043,5077,5084,5094,-85,-81.0,-98.0,-87.0,-90.0,2023-07-07,08:41:35.785
2.1,200000638,1688737296.18356,,,,False,8755,18,5018,5043,5077,5084,5094,-82,-82.0,-90.0,-84.0,-84.0,2023-07-07,08:41:36.183
2.1,200000636,1688737296.1555588,,,,False,541695,218,5018,5043,,,,-91,-96.0,,,,2023-07-07,08:41:36.155
2.1,200000637,1688737296.393607,,,,False,17605,205,5084,,,,,-87,,,,,2023-07-07,08:41:36.393
2.1,200000641,1688737296.7981758,,,,False,472189,15,5018,5043,5077,5084,5094,-83,-82.0,-91.0,-83.0,-88.0,2023-07-07,08:41:36.798
2.1,200000662,1688737296.810267,-7821.0,9534.0,1000.0,True,26705,27,5018,5043,5077,5084,5094,-82,-82.0,-90.0,-85.0,-88.0,2023-07-07,08:41:36.810
2.1,200000636,1688737297.165118,,,,False,541696,25,5018,5043,5084,,,-86,-89.0,-94.0,,,2023-07-07,08:41:37.165
2.1,200000637,1688737297.4376168,,,,False,17606,20,5018,5043,5077,5084,5094,-81,-81.0,-91.0,-82.0,-84.0,2023-07-07,08:41:37.437
2.1,200000641,1688737297.847275,,,,False,472190,28,5018,5043,5077,5084,5094,-82,-82.0,-94.0,-83.0,-85.0,2023-07-07,08:41:37.847
2.1,200000636,1688737298.1531289,,,,False,541697,13,5018,5043,5084,,,-88,-90.0,-94.0,,,2023-07-07,08:41:38.153
2.1,200000637,1688737298.445705,,,,False,17607,17,5018,5043,5077,5084,5094,-81,-83.0,-95.0,-85.0,-90.0,2023-07-07,08:41:38.445
2.1,200000662,1688737298.781973,-8029.0,9490.0,1000.0,True,26707,34,5018,5043,5077,5084,5094,-84,-81.0,-97.0,-87.0,-90.0,2023-07-07,08:41:38.781
2.1,200000641,1688737298.8850288,,,,False,472191,23,5018,5043,5077,5084,5094,-81,-81.0,-88.0,-83.0,-85.0,2023-07-07,08:41:38.885
2.1,200000636,1688737299.13941,,,,False,541698,20,5018,5043,5084,5094,,-84,-85.0,-89.0,-94.0,,2023-07-07,08:41:39.139
2.1,200000637,1688737299.4472768,,,,False,17608,24,5018,5043,5077,5084,5094,-81,-82.0,-94.0,-84.0,-90.0,2023-07-07,08:41:39.447
2.1,200000664,1688737299.739728,-12259.0,14046.0,1000.0,True,1972,18,5018,5043,5077,5084,5094,-82,-83.0,-120.0,-87.0,-91.0,2023-07-07,08:41:39.739
2.1,200000641,1688737299.886149,-12652.0,14701.0,1000.0,True,472192,16,5018,5043,5077,5084,5094,-81,-82.0,-88.0,-83.0,-84.0,2023-07-07,08:41:39.886
2.1,200000636,1688737300.146417,,,,False,541699,21,5018,5043,5084,5094,,-82,-88.0,-93.0,-102.0,,2023-07-07,08:41:40.146
2.1,200000637,1688737300.477475,,,,False,17609,11,5018,5043,5084,5094,,-82,-85.0,-86.0,-92.0,,2023-07-07,08:41:40.477
2.1,200000664,1688737300.7026029,,,,False,1973,21,5018,5043,5084,5094,,-81,-86.0,-91.0,-98.0,,2023-07-07,08:41:40.702
2.1,200000641,1688737300.853293,,,,False,472193,37,5018,5043,5077,5084,5094,-81,-84.0,-96.0,-87.0,-100.0,2023-07-07,08:41:40.853
2.1,200000636,1688737301.137801,,,,False,541700,22,5018,5043,5084,5094,,-84,-85.0,-91.0,-93.0,,2023-07-07,08:41:41.137
