version,tagId,timestamp,x,y,z,success,blinkIndex,latency,anchorid1,anchorid2,anchorid3,anchorid4,anchorid5,rss1,rss2,rss3,rss4,rss5,converted_date,time
2.1,200000662,1686165688.891928,5338.0,-452.0,1000.0,True,6139,21,5018,5043,5077,5100,,-81.0,-80.0,-81.0,-81.0,,2023-06-07,14:21:28.891
2.1,200000638,1686165689.154424,-262.0,-684.0,1000.0,True,3474,26,5018,5043,5077,5100,,-81.0,-82.0,-81.0,-80.0,,2023-06-07,14:21:29.154
2.1,200000641,1686165689.2230458,-190.0,-965.0,1000.0,True,451768,28,5018,5043,5077,5100,,-81.0,-81.0,-82.0,-81.0,,2023-06-07,14:21:29.223
2.1,200000661,1686165689.417616,-963.0,-125.0,1000.0,True,470,16,5018,5043,5077,5100,,-80.0,-81.0,-80.0,-81.0,,2023-06-07,14:21:29.417
2.1,200000639,1686165689.454277,6288.0,-2913.0,1000.0,True,45872,39,5018,5043,5077,5100,,-82.0,-82.0,-81.0,-82.0,,2023-06-07,14:21:29.454
2.1,200000636,1686165689.6403549,,,,False,535914,32,5018,5043,5077,5100,,-81.0,-81.0,-81.0,-79.0,,2023-06-07,14:21:29.640
2.1,200000662,1686165689.872015,5761.0,-29.0,1000.0,True,6140,20,5018,5043,5077,5100,,-82.0,-81.0,-81.0,-81.0,,2023-06-07,14:21:29.872
2.1,200000638,1686165690.195308,-1071.0,-1031.0,1000.0,True,3475,27,5018,5043,5077,5100,,-81.0,-82.0,-81.0,-80.0,,2023-06-07,14:21:30.195
2.1,200000641,1686165690.213675,-190.0,-965.0,1000.0,True,451769,22,5018,5043,5077,5100,,-81.0,-82.0,-82.0,-81.0,,2023-06-07,14:21:30.213
2.1,200000663,1686165690.43662,2658.0,854.0,1000.0,True,125258,20,5018,5043,5077,5100,,-82.0,-83.0,-81.0,-85.0,,2023-06-07,14:21:30.436
2.1,200000639,1686165690.4844759,5781.0,-2727.0,1000.0,True,45873,24,5018,5043,5077,5100,,-81.0,-81.0,-81.0,-81.0,,2023-06-07,14:21:30.484
